Area,Total Rank,Total Life Expectancy (years),Male Rank,Male Life Expectancy (years),Female Rank,Female Life Expectancy (years),,,,,,,
Hawaii,1,79.9,1,77,1,83.1,,,,,,,
Massachusetts,2,79.6,2,76.9,2,82.2,,,,,,,
Connecticut,3,79.2,4,76.3,3,82,,,,,,,
New York,4,79,7,76.3,4,81.6,,,,,,,
New Jersey,5,79,5,76.3,5,81.6,,,,,,,
Minnesota,6,78.8,3,76.3,6,81.4,,,,,,,
New Hampshire,7,78.5,8,76.1,9,81.1,,,,,,,
Rhode Island,8,78.5,9,75.9,10,81,,,,,,,
Vermont,9,78.4,11,75.7,8,81.2,,,,,,,
Calfornia,10,78.3,13,75.3,7,81.4,,,,,,,
Washington,11,78.2,10,75.8,11,80.8,,,,,,,
Utah,12,78.2,6,76.3,18,80.2,,,,,,,
Nebraska,13,77.8,12,75.4,16,80.3,,,,,,,
Wisconsin,14,77.8,14,75.2,14,80.5,,,,,,,
Colorado,15,77.7,16,75,12,80.6,,,,,,,
Iowa,16,77.7,15,75.2,15,80.4,,,,,,,
North Dakota,17,77.6,17,75,13,80.5,,,,,,,
Oregon,18,77.4,18,74.8,17,80.2,,,,,,,
Maryland,19,77.2,20,74.3,20,79.9,,,,,,,
Idaho,20,77.2,19,74.8,22,79.7,,,,,,,
Illinois,21,77.1,21,74.2,19,80,,,,,,,
Virginia,22,76.8,22,74.2,24,79.4,,,,,,,
Maine,23,76.7,24,73.8,21,79.8,,,,,,,
South Dakota,24,76.6,23,74.1,25,79.3,,,,,,,
Pennsylvania,25,76.4,25,73.6,26,79.3,,,,,,,
United States,,76.4,,73.5,,79.3,,,,,,,
Delaware,26,76.3,27,73.3,23,79.4,,,,,,,
Florida,27,76.1,28,73.1,27,79.3,,,,,,,
Kansas,28,76,26,73.4,29,78.7,,,,,,,
Montana,29,75.8,29,73.1,28,78.8,,,,,,,
Michigan,30,75.7,30,72.9,30,78.6,,,,,,,
Texas,31,75.4,31,72.7,33,78.3,,,,,,,
District of Colombia,32,75.3,37,71.9,31,78.5,,,,,,,
Nevada,33,75.1,33,72.4,34,78.2,,,,,,,
Arizona,34,75,36,72,32,78.3,,,,,,,
Wyoming,35,75,32,72.5,37,77.7,,,,,,,
North Carolina,36,74.9,35,72,35,77.9,,,,,,,
Missouri,37,74.6,40,71.6,36,77.8,,,,,,,
Indiana,38,74.6,38,71.8,39,77.5,,,,,,,
Alaska,39,74.5,34,72.2,40,77.3,,,,,,,
Ohio,40,74.5,39,71.7,38,77.5,,,,,,,
Georgia,41,74.3,41,71.6,41,77.1,,,,,,,
South Carolina,42,73.5,42,70.4,43,76.7,,,,,,,
New Mexico,43,73,46,69.4,42,77,,,,,,,
Oklahoma,44,72.7,43,70,45,75.6,,,,,,,
Arkansas,45,72.5,44,69.7,46,75.6,,,,,,,
Tennessee,46,72.4,47,69.4,47,75.5,,,,,,,
Kentucky,47,72.3,45,69.6,49,75.3,,,,,,,
Louisiana,48,72.2,49,68.8,44,75.9,,,,,,,
Alabama,49,72,48,68.9,48,75.3,,,,,,,
West Virginia,50,71,50,68.1,51,74.2,,,,,,,
Mississippi,51,70.9,51,67.7,50,74.3,,,,,,,
